Date,Open,High,Low,Close,Volume
2025-10-21 13:30:00,218.40499877929688,219.07000732421875,218.0,218.85000610351562,1933804
2025-10-21 13:31:00,218.83999633789062,219.39999389648438,218.6999969482422,219.3699951171875,392974
2025-10-21 13:32:00,219.41920471191406,220.2100067138672,219.07000732421875,219.1638946533203,819518
2025-10-21 13:33:00,219.16000366210938,219.3300018310547,218.9199981689453,219.21499633789062,280483
2025-10-21 13:34:00,219.1999969482422,219.9499969482422,218.9600067138672,219.66650390625,328292
2025-10-21 13:35:00,219.65499877929688,219.72999572753906,219.14390563964844,219.28500366210938,240882
2025-10-21 13:36:00,219.3000030517578,219.60000610351562,219.04200744628906,219.52000427246094,197579
2025-10-21 13:37:00,219.52000427246094,219.72999572753906,219.47000122070312,219.5225067138672,299301
2025-10-21 13:38:00,219.49000549316406,219.60000610351562,219.08999633789062,219.33999633789062,215034
2025-10-21 13:39:00,219.39500427246094,219.6685028076172,219.25,219.35499572753906,170345
2025-10-21 13:40:00,219.35000610351562,219.5500030517578,219.05999755859375,219.26400756835938,159709
2025-10-21 13:41:00,219.27000427246094,219.40269470214844,219.07000732421875,219.39500427246094,131189
2025-10-21 13:42:00,219.39100646972656,219.57000732421875,219.19000244140625,219.5500030517578,244762
2025-10-21 13:43:00,219.5500030517578,219.8699951171875,219.38999938964844,219.8415985107422,187578
2025-10-21 13:44:00,219.83999633789062,220.27999877929688,219.8300018310547,220.21499633789062,328738
2025-10-21 13:45:00,220.22999572753906,220.22999572753906,219.77000427246094,220.08380126953125,204696
2025-10-21 13:46:00,220.0850067138672,220.28909301757812,220.0,220.27999877929688,258549
2025-10-21 13:47:00,220.25999450683594,220.4499969482422,220.0500030517578,220.06520080566406,252253
2025-10-21 13:48:00,220.0749969482422,220.1199951171875,219.55999755859375,219.610107421875,286909
2025-10-21 13:49:00,219.60000610351562,219.8000030517578,219.38999938964844,219.74000549316406,155359
2025-10-21 13:50:00,219.7451934814453,219.9499969482422,219.52999877929688,219.86500549316406,148600
2025-10-21 13:51:00,219.85000610351562,219.9499969482422,219.68499755859375,219.87350463867188,145898
2025-10-21 13:52:00,219.88229370117188,220.32000732421875,219.87460327148438,220.1999969482422,227252
2025-10-21 13:53:00,220.22500610351562,220.4199981689453,220.0500030517578,220.34500122070312,232625
2025-10-21 13:54:00,220.34500122070312,220.39999389648438,220.13070678710938,220.3800048828125,199434
2025-10-21 13:55:00,220.38999938964844,220.5399932861328,220.25999450683594,220.5,250996
2025-10-21 13:56:00,220.52000427246094,220.6199951171875,220.38999938964844,220.5800018310547,177316
2025-10-21 13:57:00,220.5778045654297,220.74049377441406,220.50999450683594,220.52000427246094,188653
2025-10-21 13:58:00,220.52000427246094,220.60499572753906,220.22999572753906,220.44000244140625,200986
2025-10-21 13:59:00,220.44500732421875,220.83999633789062,220.4199981689453,220.8249969482422,206549
2025-10-21 14:00:00,220.8249969482422,221.02999877929688,220.72999572753906,220.97000122070312,463649
2025-10-21 14:01:00,220.97000122070312,221.02499389648438,220.47999572753906,220.5299072265625,234476
2025-10-21 14:02:00,220.50999450683594,220.66990661621094,220.39999389648438,220.5850067138672,180882
2025-10-21 14:03:00,220.60499572753906,220.82000732421875,220.5200958251953,220.82000732421875,162156
2025-10-21 14:04:00,220.81500244140625,220.89999389648438,220.67999267578125,220.86300659179688,169177
2025-10-21 14:05:00,220.8155059814453,221.07000732421875,220.76010131835938,221.06399536132812,259026
2025-10-21 14:06:00,221.07000732421875,221.22000122070312,220.9665069580078,221.1999969482422,183853
2025-10-21 14:07:00,221.1999969482422,221.2299041748047,221.110107421875,221.17990112304688,142019
2025-10-21 14:08:00,221.1699981689453,221.2100067138672,220.97000122070312,221.15499877929688,188214
2025-10-21 14:09:00,221.16990661621094,221.25,220.99000549316406,221.15499877929688,208307
2025-10-21 14:10:00,221.16000366210938,221.3719940185547,221.07000732421875,221.35049438476562,214939
2025-10-21 14:11:00,221.36000061035156,221.5399932861328,221.32009887695312,221.47999572753906,199376
2025-10-21 14:12:00,221.4947967529297,221.6999969482422,221.4499969482422,221.66000366210938,205311
2025-10-21 14:13:00,221.65989685058594,221.77000427246094,221.5399932861328,221.7165069580078,188891
2025-10-21 14:14:00,221.71499633789062,221.89999389648438,221.71299743652344,221.86500549316406,255901
2025-10-21 14:15:00,221.86000061035156,221.8800048828125,221.6699981689453,221.8000030517578,185184
2025-10-21 14:16:00,221.8300018310547,221.831298828125,221.42999267578125,221.5050048828125,183219
